iteration,x value,y value
1.0,0.0,1.0,2.0
2.0,0.1,0.9324431141498457,2.2324480575380643
3.0,0.2,0.8694555019992326,2.4919202940858063
4.0,0.30000000000000004,0.8107283351018857,2.7815588445711623
5.0,0.4,0.7559736671640674,3.1048711973422845
6.0,0.5,0.7049230224351425,3.465772676374025
7.0,0.6,0.6573260795398553,3.868633863199657
8.0,0.7,0.6129494443005289,4.318333532947442
9.0,0.7999999999999999,0.5715755055336527,4.820317745649156
10.0,0.8999999999999999,0.5330013682121064,5.380665808541074
11.0,0.9999999999999999,0.49703785876355705,6.006163908300175
12.0,1.0999999999999999,0.4635085976292309,6.704387305057505
13.0,1.2,0.432249134537037,7.483792083731829
14.0,1.3,0.4031061422505181,8.353817573986088
15.0,1.4000000000000001,0.375936664841842,9.325000679328708
16.0,1.5000000000000002,0.35060741680442786,10.409103500126678
17.0,1.6000000000000003,0.32699412957014057,11.619255796314608
18.0,1.7000000000000004,0.3049809422285092,12.970114015323944
19.0,1.8000000000000005,0.2844598334622746,14.478038811396143
20.0,1.9000000000000006,0.2653300919158158,16.16129320641312
21.0,2.0000000000000004,0.247497822401641,18.040263792390334
22.0,2.1000000000000005,0.23087548552608778,20.13770765486066
23.0,2.2000000000000006,0.2153814684795289,22.479028007910912
24.0,2.3000000000000007,0.20093968488954048,25.092581879391016
25.0,2.400000000000001,0.18747920177841645,28.010023573009978
26.0,2.500000000000001,0.17493389179982657,31.26668806736547
27.0,2.600000000000001,0.16324210905397843,34.90201899567279
28.0,2.700000000000001,0.15234638689699365,38.96004638992344
29.0,2.800000000000001,0.14219315626893275,43.489919975953626
30.0,2.9000000000000012,0.13273248316656786,48.54650447873858
31.0,3.0000000000000013,0.12391782398213774,54.1910441482998
32.0,3.1000000000000014,0.11570579751843746,60.49190455501518
33.0,3.2000000000000015,0.10805597257418079,67.52540063901203
34.0,3.3000000000000016,0.10093067007210638,75.37672104303459
35.0,3.4000000000000017,0.09429477877623901,84.14095992436488
36.0,3.5000000000000018,0.08811558371453043,93.92426874316291
