iteration,x value,y value
36.0,3.5000000000000018,2.099010756733803,3.5472832749806757
37.0,3.600000000000002,1.9167465991778174,3.4776475218005385
38.0,3.700000000000002,1.7585126026658866,3.392025679688465
39.0,3.800000000000002,1.6222844054617453,3.2939482620579748
40.0,3.900000000000002,1.5058828125261103,3.186625730163014
41.0,4.000000000000002,1.4071527856195345,3.0728840183035686
42.0,4.100000000000001,1.3240733909011588,2.9551463486288934
43.0,4.200000000000001,1.2548170437006338,2.835445526148277
44.0,4.300000000000001,1.197774135887538,2.715454212329461
45.0,4.4,1.1515556550887878,2.5965241370191583
46.0,4.5,1.114982941667001,2.479728190679411
47.0,4.6,1.087070819473941,2.365901640010274
48.0,4.699999999999999,1.0670081182396693,2.2556803540703307
49.0,4.799999999999999,1.054138023368469,2.1495350315149047
50.0,4.899999999999999,1.0479396171711908,2.0478011177710953
51.0,4.999999999999998,1.0480112814512563,1.9507045142649855
52.0,5.099999999999998,1.0540562013714634,1.8583834049183994
53.0,5.1999999999999975,1.0658699572525006,1.7709066271331986
54.0,5.299999999999997,1.083330051288141,1.688289043182733
55.0,5.399999999999997,1.1063871465407853,1.6105043550450167
56.0,5.4999999999999964,1.1350577669181794,1.537495771505965
57.0,5.599999999999996,1.1694182002152769,1.4691848933029295
58.0,5.699999999999996,1.2095993496917652,1.4054791375110094
59.0,5.799999999999995,1.2557822854877785,1.3462779803725449
60.0,5.899999999999995,1.3081942507303055,1.2914782603934505
61.0,5.999999999999995,1.3671048754389696,1.240978751640249
62.0,6.099999999999994,1.4328223422722872,1.1946841909521295
63.0,6.199999999999994,1.5056892302448543,1.1525089220577576
64.0,6.299999999999994,1.5860777344934163,1.1143803040096827
65.0,6.399999999999993,1.674383920737882,1.0802420204977945
66.0,6.499999999999993,1.7710206210419521,1.0500574200129429
67.0,6.5999999999999925,1.8764085116541507,1.023813013976238
68.0,6.699999999999992,1.9909648331621872,1.0015222601687344
69.0,6.799999999999992,2.1150891175589943,0.9832297611618113
70.0,6.8999999999999915,2.2491451769167714,0.9690160105430191
71.0,6.999999999999991,2.393438487186004,0.959002821304535
72.0,7.099999999999991,2.548187974905257,0.9533595672048379
73.0,7.19999999999999,2.713491097193206,0.9523103534910686
74.0,7.29999999999999,2.8892810189107268,0.9561421990924608
75.0,7.39999999999999,3.07527467290131,0.9652142444710815
76.0,7.499999999999989,3.2709105995059025,0.979967877097665
77.0,7.599999999999989,3.475275791472049,1.000937460046814
78.0,7.699999999999989,3.6870214539618047,1.0287610167469143
79.0,7.799999999999988,3.9042688137499795,1.0641897116409722
80.0,7.899999999999988,4.124508121426357,1.1080942067039583
81.0,7.999999999999988,4.344497073875532,1.161464901292365
82.0,8.099999999999987,4.560169321488688,1.225401637716178
83.0,8.199999999999987,4.766569663143901,1.3010867175839531
84.0,8.299999999999986,4.9578397503179295,1.389733239297881
85.0,8.399999999999986,5.127285646965823,1.4924993633072097
86.0,8.499999999999986,5.267564201867365,1.6103591383430118
87.0,8.599999999999985,5.3710249811774755,1.743923534448031
88.0,8.699999999999985,5.4302329830379055,1.8932132527427183
89.0,8.799999999999985,5.4386687828867615,2.0573992645903
90.0,8.899999999999984,5.391554551753397,2.2345475168825586
91.0,8.999999999999984,5.286692299652552,2.421426541188136
92.0,9.099999999999984,5.125143303029138,2.6134513882797137
93.0,9.199999999999983,4.911554985994112,2.8048316334330115
94.0,9.299999999999983,4.653982710292641,2.9889556502746784
95.0,9.399999999999983,4.3631662249656715,3.158980905172829
96.0,9.499999999999982,4.051372987317417,3.308531129421875
97.0,9.599999999999982,3.7310508430676252,3.4323569736518187
98.0,9.699999999999982,3.4135804116737263,3.5268209614742747
99.0,9.799999999999981,3.10836316832299,3.590120275099198
100.0,9.89999999999998,2.822357158803375,3.622237472042794
101.0,9.99999999999998,2.5600392932573133,3.6246763031647427
102.0,10.09999999999998,2.3236820767471986,3.600074851379963
103.0,10.19999999999998,2.1138015328329,3.551788231614015
104.0,10.29999999999998,1.9296500716246454,3.4835097807312625
105.0,10.399999999999979,1.7696685142807707,3.3989687351579256
106.0,10.499999999999979,1.6318537968591116,3.301715475275144
107.0,10.599999999999978,1.5140311879608723,3.1949875745689953
108.0,10.699999999999978,1.4140392387219283,3.0816411178886183
109.0,10.799999999999978,1.3298442917164368,2.9641296083092525
110.0,10.899999999999977,1.2596029537312996,2.84451444112164
111.0,10.999999999999977,1.2016888519747468,2.724494176472135
112.0,11.099999999999977,1.1546965554990067,2.605443320978815
113.0,11.199999999999976,1.1174320536871556,2.4884543581277287
114.0,11.299999999999976,1.0888962235873278,2.3743791207799583
115.0,11.399999999999975,1.0682654479328233,2.2638672893002583
116.0,11.499999999999975,1.0548719195725829,2.157400938384551
117.0,11.599999999999975,1.048185062522415,2.0553247799796006
118.0,11.699999999999974,1.0477947814915936,1.9578721808572512
119.0,11.799999999999974,1.0533968051816043,1.8651872681604391
120.0,11.899999999999974,1.064780124512615,1.777343545481572
121.0,11.999999999999973,1.0818163804205592,1.694359474993401
122.0,12.099999999999973,1.1044509821243604,1.6162114705823771
123.0,12.199999999999973,1.1326957057715912,1.5428447138242014
124.0,12.299999999999972,1.1666225155787713,1.4741821619443556
125.0,12.399999999999972,1.206358352521853,1.4101320722784554
126.0,12.499999999999972,1.2520806414722576,1.3505943254602095
127.0,12.599999999999971,1.30401327151748,1.2954657917974344
128.0,12.69999999999997,1.3624228029409693,1.2446449529798707
129.0,12.79999999999997,1.4276146458787886,1.1980359646178367
130.0,12.89999999999997,1.4999289384745855,1.1555523239819216
131.0,12.99999999999997,1.5797358251112281,1.117120291362417
132.0,13.09999999999997,1.6674297967680332,1.0826822022746057
133.0,13.199999999999969,1.7634227045057946,1.052199800841181
134.0,13.299999999999969,1.8681349923362136,1.025657721566133
135.0,13.399999999999968,1.981984616319295,1.0030672467293607
136.0,13.499999999999968,2.1053730222281724,0.9844704688763924
137.0,13.599999999999968,2.2386674452269695,0.9699449909824912
138.0,13.699999999999967,2.3821786745038436,0.9596092986626785
139.0,13.799999999999967,2.5361333000601562,0.9536289357978064
140.0,13.899999999999967,2.7006393401741082,0.9522236016090931
141.0,13.999999999999966,2.8756440581518596,0.9556752548459758
142.0,14.099999999999966,3.0608827520696376,0.9643372459898227
143.0,14.199999999999966,3.255817399082116,0.9786443811714519
144.0,14.299999999999965,3.459564345134141,0.9991236226862921
145.0,14.399999999999965,3.670810881972896,1.026404809797019
146.0,14.499999999999964,3.8877217290682444,1.061230286082669
147.0,14.599999999999964,4.107838378758659,1.1044615808121494
148.0,14.699999999999964,4.327977254911133,1.1570802449271065
149.0,14.799999999999963,4.544136962422469,1.2201785438154797
150.0,14.899999999999963,4.75143073127096,1.2949339907162911
151.0,14.999999999999963,4.944067302232536,1.382559863728007
152.0,15.099999999999962,5.115411062235425,1.4842223849676697
153.0,15.199999999999962,5.258158105677125,1.600915111564034
154.0,15.299999999999962,5.364665304410648,1.7332838099537404
155.0,15.399999999999961,5.427459009694757,1.8814025722363852
156.0,15.499999999999961,5.43992288144202,2.044515805069056
157.0,15.59999999999996,5.397117554095126,2.2207808334444064
158.0,15.69999999999996,5.296623332819426,2.407068290710505
159.0,15.79999999999996,5.139238418142813,2.5988931558558703
160.0,15.89999999999996,4.929338703148486,2.790545588038152
161.0,15.99999999999996,4.6747408876501435,2.9754575209350085
162.0,16.09999999999996,4.386018147138312,3.1467800643455703
163.0,16.19999999999996,4.075368953337827,3.2980773107507706
164.0,16.29999999999996,3.755273983930677,3.4239949845764266
165.0,16.399999999999963,3.437231506150389,3.5207625695549902
166.0,16.499999999999964,3.1308144353670695,3.586437218737075
167.0,16.599999999999966,2.843171475535618,3.6208737022261834
168.0,16.699999999999967,2.5789603316930902,3.625473447898692
169.0,16.79999999999997,2.340605649548676,3.6028035456333565
170.0,16.89999999999997,2.1287388346709872,3.5561789658106515
171.0,16.99999999999997,1.9426910807659823,3.4892791326594317
172.0,17.099999999999973,1.7809504819589606,3.40583915180106
173.0,17.199999999999974,1.6415368193417579,3.3094285134546104
174.0,17.299999999999976,1.5222808715431353,3.20331151901217
175.0,17.399999999999977,1.4210154236075194,3.090374289934448
176.0,17.49999999999998,1.3356944436423932,2.9731006747178865
177.0,17.59999999999998,1.2644588771142182,2.8535808290481115
178.0,17.69999999999998,1.2056656052613346,2.733539434776414
179.0,17.799999999999983,1.1578927219613753,2.614374015874916
180.0,17.899999999999984,1.1199307700450825,2.4971968850301356
181.0,17.999999999999986,1.0907665686284493,2.382876660645341
182.0,18.099999999999987,1.0695639409780662,2.2720770310174725
183.0,18.19999999999999,1.0556439815551624,2.1652916188653375
184.0,18.29999999999999,1.0484663608251767,2.0628745505189516
185.0,18.39999999999999,1.0476124231606077,1.9650667836725226
186.0,18.499999999999993,1.0527703695311865,1.8720184944129983
187.0,18.599999999999994,1.06372254130256,1.7838079410001482
188.0,18.699999999999996,1.0803346678520973,1.7004572592760183
189.0,18.799999999999997,1.1025468626760662,1.621945636444235
190.0,18.9,1.1303661192329462,1.5482202780178627
191.0,19.0,1.1638600487304065,1.4792055404415458
192.0,19.1,1.203151604511748,1.4148105572293057
193.0,19.200000000000003,1.2484145435178422,1.3549356438993678
194.0,19.300000000000004,1.2998693794205098,1.2994777288345574
195.0,19.400000000000006,1.3577795812268,1.2483350244543236
196.0,19.500000000000007,1.4224477632980934,1.2014111260136022
197.0,19.60000000000001,1.4942115962392533,1.1586187038086972
198.0,19.70000000000001,1.5734391416721105,1.1198829382418563
199.0,19.80000000000001,1.6605232762735325,1.0851448356598312
200.0,19.900000000000013,1.7558748203994283,1.054364555679448
201.0,20.000000000000014,1.8599139229429789,1.027524877331317
202.0,20.100000000000016,1.9730591757944442,1.004634931158442
203.0,20.200000000000017,2.095713837899783,0.9857343265234666
204.0,20.30000000000002,2.2282484410447303,0.970897806481474
205.0,20.40000000000002,2.3709789296986483,0.9602405645678945
206.0,20.50000000000002,2.524139361569698,0.9539243553736724
207.0,20.600000000000023,2.6878480756935463,0.9521645184786595
208.0,20.700000000000024,2.8620661417541644,0.9552380047808154
209.0,20.800000000000026,3.0465468728212155,0.9634924325450428
210.0,20.900000000000027,3.240775269644744,0.9773560881394352
211.0,21.00000000000003,3.443896553986919,0.9973485950400202
212.0,21.10000000000003,3.654633568047083,1.024091664447793
213.0,21.20000000000003,3.8711939454475086,1.0583188589032289
214.0,21.300000000000033,4.091169832600845,1.1008825821391663
215.0,21.400000000000034,4.3114358414373,1.152755486824756
216.0,21.500000000000036,4.528055132413437,1.2150221202678113
217.0,21.600000000000037,4.736209240046476,1.288854929860526
218.0,21.70000000000004,4.930174316817687,1.3754669057566065
219.0,21.80000000000004,5.103374055940008,1.4760316186010816
220.0,21.90000000000004,5.2485456586514445,1.5915611344927378
221.0,22.000000000000043,5.358056202053923,1.722734731582699
222.0,22.100000000000044,5.424397335926078,1.8696784031120384
223.0,22.200000000000045,5.440860534577673,2.031708492645546
224.0,22.300000000000047,5.402349789631606,2.2070725253668515
225.0,22.40000000000005,5.306227788514987,2.3927428040809566
226.0,22.50000000000005,5.153031798711445,2.5843349588764446
227.0,22.60000000000005,4.946865440418657,2.776221831061087
228.0,22.700000000000053,4.695302810478713,2.9618822514062852
229.0,22.800000000000054,4.408743950450675,3.134465000275687
230.0,22.900000000000055,4.099310545445781,3.2874784173899405
231.0,23.000000000000057,3.7795087715625613,3.4154662142101313
232.0,23.10000000000006,3.4609491024192436,3.514526238198987
233.0,23.20000000000006,3.1533730496046903,3.5825754206102824
234.0,23.30000000000006,2.8641196409548604,3.6193392730065495
235.0,23.400000000000063,2.598028910484063,3.62611468611024
236.0,23.500000000000064,2.3576802087915625,3.605395342964957
237.0,23.600000000000065,2.143823172621468,3.5604538655633786
238.0,23.700000000000067,1.9558704042344393,3.4949539996103716
239.0,23.800000000000068,1.7923594116278836,3.4126354608483145
240.0,23.90000000000007,1.6513344089070563,3.31708606005754
241.0,24.00000000000007,1.5306327656938152,3.2115964176932006
242.0,24.100000000000072,1.4280821719830217,3.0990825608984505
243.0,24.200000000000074,1.3416245893202592,2.98205873740665
244.0,24.300000000000075,1.2693854614837916,2.8626440275020246
245.0,24.400000000000077,1.2097049500433887,2.742589455181361
246.0,24.500000000000078,1.161144621337369,2.6233158019180474
247.0,24.60000000000008,1.1224794780673961,2.5059554466204395
248.0,24.70000000000008,1.0926821708812113,2.391394014138074
249.0,24.800000000000082,1.0709038508777675,2.28030939913389
250.0,24.900000000000084,1.0564544076282483,2.1732069461830235
251.0,25.000000000000085,1.0487836619272284,2.0704503456190992
252.0,25.100000000000087,1.0474643136550825,1.9722882732276779
253.0,25.200000000000088,1.0521769639036607,1.8788770611627341
254.0,25.30000000000009,1.0626972435362454,1.7902998120330078
255.0,25.40000000000009,1.0788849193797523,1.706582410139682
256.0,25.500000000000092,1.100674766747375,1.6277068782643378
257.0,25.600000000000094,1.1280689610086243,1.5536224977082387
258.0,25.700000000000095,1.1611307305689076,1.4842550674395552
259.0,25.800000000000097,1.1999790155325705,1.4195146335292743
260.0,25.900000000000098,1.2447838820955832,1.3593019772363646
261.0,26.0000000000001,1.2957624470922273,1.3035141115698945
262.0,26.1000000000001,1.3531750667794773,1.25204900298891
263.0,26.200000000000102,1.4173215366800498,1.204809707403033
264.0,26.300000000000104,1.4885370335161785,1.1617080876936159
265.0,26.400000000000105,1.5671875046204147,1.1226682632673957
266.0,26.500000000000107,1.6536641734640185,1.0876299302718375
267.0,26.600000000000108,1.748376780865541,1.0565516835887583
268.0,26.70000000000011,1.85174511883582,1.0294144680724484
269.0,26.80000000000011,1.9641883368637194,1.0062252860899403
270.0,26.900000000000112,2.086111408213699,0.987021290402514
271.0,27.000000000000114,2.2178880369729588,0.9718743945172589
272.0,27.100000000000115,2.359839167537993,0.9608965348117146
273.0,27.200000000000117,2.5122061326714684,0.9542457167511473
274.0,27.300000000000118,2.675117355400868,0.9521329662060892
275.0,27.40000000000012,2.8485474238842814,0.9548302781055666
276.0,27.50000000000012,3.032267320564581,0.96267959588632
277.0,27.600000000000122,3.2257846614590147,0.9761027475299674
278.0,27.700000000000124,3.4282730715663012,0.9956120797943012
279.0,27.800000000000125,3.6384904114827004,1.0218212326619565
280.0,27.900000000000126,3.8546866527819645,1.0554550291713332
281.0,28.000000000000128,4.07450400735228,1.0973567578923114
282.0,28.10000000000013,4.294874729916368,1.148490128736893
283.0,28.20000000000013,4.511926122938633,1.2099318381186985
284.0,28.300000000000132,4.720907872733284,1.2828490022170769
285.0,28.400000000000134,4.916163824895666,1.3684538719801467
286.0,28.500000000000135,5.091177904457644,1.46792667377638
287.0,28.600000000000136,5.2387302074742035,1.5822970056377113
288.0,28.700000000000138,5.351200834347241,1.7122763928320046
289.0,28.80000000000014,5.421050604556451,1.8580412502967596
290.0,28.90000000000014,5.441483493980048,2.0189783510089097
291.0,29.000000000000142,5.4072517625181895,2.1934242042222034
292.0,29.100000000000144,5.315504666970209,2.3784522781768858
293.0,29.200000000000145,5.166520869236504,2.5697794784554153
294.0,29.300000000000146,4.964131213794879,2.7618633223186793
295.0,29.400000000000148,4.715663486808549,2.9482327951459943
296.0,29.50000000000015,4.431338193660883,3.122038349482618
297.0,29.60000000000015,4.123192466897577,3.276736499661021
298.0,29.700000000000152,3.8037505560932137,3.4067719544968122
299.0,29.800000000000153,3.484729522391307,3.5081124515401676
300.0,29.900000000000155,3.1760364277297257,3.5785346212220954
301.0,30.000000000000156,2.8852001176333064,3.6176333247843804
